Model Checkpoint,Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Avg of Max Deviations
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,5,9,3,12,0.09172,39.38721386562831,65.40542739283477
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,10,3,1,6,0.07028,35.90455315164704,59.80265959640299
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,10,3,1,9,0.08584,40.377259174475036,66.5963320269774
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,10,3,1,12,0.08778,35.77163034133811,63.17968007709552
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,10,3,2,6,0.11608,34.00407111015773,61.39499854997874
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,10,3,2,9,0.10316,35.606323439725635,61.86788974351278
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,10,3,2,12,0.1327,35.98492709403593,63.03851150939966
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,10,3,3,6,0.15912,38.40555699415424,63.68555490744204
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,10,3,3,9,0.14382,30.959868634606163,58.769349749987434
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,10,3,3,12,0.15232,35.20147439740839,62.13679971740096
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,10,6,1,6,0.0708,40.241769830444355,64.84512225257993
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,10,6,1,9,0.09346,35.44013138768541,59.96582036041557
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,10,6,1,12,0.08328,39.213417705107645,63.55919478450118
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,10,6,2,6,0.11044,38.03830524310796,63.35819572349854
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,10,6,2,9,0.10452,35.29149139871078,59.25255797409808
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,10,6,2,12,0.10806,39.37731278871831,63.38835892494763
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,10,6,3,6,0.16852,42.58636115266003,66.26036884731163
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,10,6,3,9,0.14858,40.607905736132814,67.81518037989419
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,10,6,3,12,0.15038,36.41292610837694,64.72953973329494
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,10,9,1,6,0.10368,41.08646593569684,63.22300436397896
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,10,9,1,9,0.12946,40.02082788298778,62.134903040713176
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,10,9,1,12,0.06888,43.561852526397715,66.74517662663234
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,10,9,2,6,0.1175,41.436573659310504,62.514286993919434
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,10,9,2,9,0.12032,42.45845479073718,66.43560979820523
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,10,9,2,12,0.11648,43.98797892013813,66.97252449919132
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,10,9,3,6,0.19134,44.36504741364546,66.95339504940631
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,10,9,3,9,0.18094,40.64634131910489,63.20175629021364
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,10,9,3,12,0.20412,38.25302373317626,62.30685107272198
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,20,3,1,6,0.18216,38.12841448494248,61.54791372441644
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,20,3,1,9,0.16736,36.62087357164562,61.60223752124697
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,20,3,1,12,0.18556,41.89369231898938,67.39795425025832
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,20,3,2,6,0.20794,37.739973077883604,61.95851278127326
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,20,3,2,9,0.1892,35.51004208204802,62.49654757939658
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,20,3,2,12,0.1778,36.62430673908419,61.27818288200534
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,20,3,3,6,0.24786,41.386249938307486,68.57479501556871
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,20,3,3,9,0.26112,36.257622662867895,64.51390339479224
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,20,3,3,12,0.2373,34.810916687922116,62.43053248232414
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,20,6,1,6,0.1592,43.77321644788017,64.86234572621557
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,20,6,1,9,0.18994,43.36548329599273,64.33367887208854
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,20,6,1,12,0.18344,41.18187931479721,64.27829224779721
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,20,6,2,6,0.21432,41.10938652952621,63.411575505414454
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,20,6,2,9,0.22002,45.8817923006385,66.27638137914428
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,20,6,2,12,0.21466,44.71722175380269,68.09630465243809
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,20,6,3,6,0.24648,42.30929843990751,66.24210957694403
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,20,6,3,9,0.2796,43.52472747674471,66.22798582084866
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,20,6,3,12,0.28658,42.04754283727491,64.37650875962359
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,20,9,1,6,0.20004,43.577178417195825,62.24475467485436
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,20,9,1,9,0.18726,43.76889847516797,63.204304190373186
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,20,9,1,12,0.24282,44.28658649196353,63.89558595219373
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,20,9,2,6,0.29736,45.97090886137783,66.91418874584265
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,20,9,2,9,0.24304,45.62620672405974,66.72802618323527
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,20,9,2,12,0.24346,45.646674406480926,67.95561879500343
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,20,9,3,6,0.32876,42.590096960481844,63.99139234743694
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,20,9,3,9,0.32574,46.76731282020618,67.45126453019448
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,20,9,3,12,0.35192,47.560304092842635,68.01886393430576
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,40,3,1,6,0.26596,42.61837307507738,64.70309187746123
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,40,3,1,9,0.27206,40.96356217813659,63.60740588966525
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,40,3,1,12,0.3155,42.64306818610535,66.16894538359884
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,40,3,2,6,0.31876,42.88340756500779,62.90316043587878
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,40,3,2,9,0.30534,41.52737587884003,63.18765291330678
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,40,3,2,12,0.33644,41.90130237815529,67.14422395629909
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,40,3,3,6,0.372,39.52951405220749,63.083438793674475
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,40,3,3,9,0.40558,40.77689168052677,65.69634615144317
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,40,3,3,12,0.38434,39.21449986133472,63.17070326546268
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,40,6,1,6,0.33958,44.94011676094113,64.91187512169125
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,40,6,1,9,0.35092,44.80000216847372,63.802380656887756
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,40,6,1,12,0.29668,44.612000745759396,63.20674662115293
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,40,6,2,6,0.36608,43.94595029004759,64.00081533524504
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,40,6,2,9,0.38092,48.74245811064689,67.30317814807636
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,40,6,2,12,0.35376,41.53296601584676,64.58124896814911
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,40,6,3,6,0.41258,40.51577694149594,62.87652052009307
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,40,6,3,9,0.44334,45.78857851123059,67.54817009511798
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,40,6,3,12,0.4351,44.13778418260842,66.10395373178044
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,40,9,1,6,0.43686,45.07589543251003,62.5850785015072
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,40,9,1,9,0.39622,44.85925643363177,62.79948968969351
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,40,9,1,12,0.4271,42.54351898952836,63.055115803842384
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,40,9,2,6,0.4247,46.702551488743254,66.43468437335068
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,40,9,2,9,0.4229,45.6092724651844,64.83428400484861
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,40,9,2,12,0.46482,50.92260632368279,68.98768430145498
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,40,9,3,6,0.52438,49.67369232342323,67.64819435109953
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,40,9,3,9,0.51834,45.79076557817367,64.98749483154373
ppo_intruder_24_50_PBRS_Training_2_1000000_steps.zip,40,9,3,12,0.57582,44.62169123877028,64.13507988155283
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,5,3,1,6,0.07402,42.13824091361552,60.94201315033708
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,5,3,1,9,0.07404,42.294491552195865,60.559992462600555
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,5,3,1,12,0.07994,43.56763494761131,61.41486253038751
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,5,3,2,6,0.12308,45.99648618773536,63.153623715258284
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,5,3,2,9,0.10002,45.47262362301042,64.03829480758063
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,5,3,2,12,0.12576,44.27632155700167,60.93463834807673
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,5,3,3,6,0.1397,44.10572032561574,62.25247267983253
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,5,3,3,9,0.14328,45.29372063358297,61.378786363935426
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,5,3,3,12,0.12506,42.20388671682326,63.23968952651386
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,5,6,1,6,0.0612,45.48771236026264,65.2277238943044
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,5,6,1,9,0.06932,48.400779612200076,67.10701638374307
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,5,6,1,12,0.08212,44.92240433224296,60.51408413100328
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,5,6,2,6,0.1115,45.57870910092639,63.61670356555864
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,5,6,2,9,0.12488,46.31617035026312,65.30890278838925
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,5,6,2,12,0.1102,45.06856326464744,63.52724281213059
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,5,6,3,6,0.14942,43.224917424162,61.37629230548639
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,5,6,3,9,0.1497,47.29830579279458,65.19451362578285
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,5,6,3,12,0.15244,44.13574930975317,62.88969426913284
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,5,9,1,6,0.07656,45.53300550011841,63.90643514801851
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,5,9,1,9,0.06352,46.09394235219698,63.039738868136716
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,5,9,1,12,0.08164,46.37101376184373,62.23537546528409
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,5,9,2,6,0.10956,50.77858975189389,67.41263208458389
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,5,9,2,9,0.14174,48.635912174253555,65.88643277314081
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,5,9,2,12,0.13556,45.108607692412136,63.390561937501744
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,5,9,3,6,0.16304,48.07185868471141,65.32586680634691
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,5,9,3,9,0.1767,46.37679262174799,62.46214782303578
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,5,9,3,12,0.19792,49.14647929936911,69.44569271143699
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,10,3,1,6,0.15826,47.17943103985463,62.23245290254132
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,10,3,1,9,0.13308,44.27531531866851,61.14485264939437
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,10,3,1,12,0.14628,45.599242122044615,64.3261162642391
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,10,3,2,6,0.17898,46.705098930109386,64.93187664528072
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,10,3,2,9,0.18364,48.72415958799922,66.36263138350778
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,10,3,2,12,0.1895,45.769297528117875,63.11674655818272
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,10,3,3,6,0.18084,48.3140442362088,67.17166457060422
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,10,3,3,9,0.2231,46.093012752380986,64.07172450639563
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,10,3,3,12,0.21994,42.91162366703282,60.52687428731931
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,10,6,1,6,0.1272,45.46612295067349,60.14386618845973
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,10,6,1,9,0.13358,45.74029653640801,61.92555212104168
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,10,6,1,12,0.12684,43.950910354537065,59.550899590679535
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,10,6,2,6,0.17718,48.69320806156807,65.64428787919147
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,10,6,2,9,0.18508,50.175005694531066,65.66574241929871
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,10,6,2,12,0.15962,46.07409194552204,65.17138632015931
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,10,6,3,6,0.23018,50.61026756088026,67.19359542853402
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,10,6,3,9,0.27376,46.5706025934056,64.20814113159584
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,10,6,3,12,0.24868,46.54183644915861,66.16775514061983
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,10,9,1,6,0.13586,45.83564550073726,63.13264072860046
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,10,9,1,9,0.14506,51.22090379660027,67.85196061166097
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,10,9,1,12,0.16584,46.06259100112442,65.07913806144435
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,10,9,2,6,0.22228,49.18179553599774,65.37340209082402
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,10,9,2,9,0.20206,49.48755215321408,69.02694606662321
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,10,9,2,12,0.19044,51.241984218718635,66.68969359858554
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,10,9,3,6,0.247,46.7486481855846,63.13941843081272
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,10,9,3,9,0.27622,49.77017719482871,65.22700108645977
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,10,9,3,12,0.27826,50.242698487901734,66.40472063964779
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,20,3,1,6,0.24514,46.00499988479725,62.77997240433641
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,20,3,1,9,0.23854,48.435875855166834,63.85539883545938
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,20,3,1,12,0.25286,46.692187676575834,64.34134554904291
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,20,3,2,6,0.2819,49.16270156159064,67.16859802870866
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,20,3,2,9,0.27088,46.76393189169684,64.91345304228473
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,20,3,2,12,0.3047,49.50039821905124,65.08587369330513
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,20,3,3,6,0.32276,50.029907657536995,65.90049426152781
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,20,3,3,9,0.313,50.38735554194802,65.7494646019989
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,20,3,3,12,0.35916,49.31186124903318,65.48550222064716
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,20,6,1,6,0.23638,48.95023852251622,65.71478498236432
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,20,6,1,9,0.23084,49.11419876068184,64.1889505688111
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,20,6,1,12,0.23986,51.90824465825788,67.39898569039946
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,20,6,2,6,0.26596,49.39770902430583,66.78598346589463
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,20,6,2,9,0.2613,52.03210951985257,67.68414345683509
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,20,6,2,12,0.30384,50.604940521381096,67.82056010035849
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,20,6,3,6,0.33042,53.49077739564975,68.09825617461047
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,20,6,3,9,0.33208,51.60009461180518,65.62200716707426
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,20,6,3,12,0.38518,50.73488337033954,67.23874916332508
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,20,9,1,6,0.3041,53.78063087471943,70.4328710174061
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,20,9,1,9,0.33354,52.415266904459294,67.38648427863927
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,20,9,1,12,0.29914,50.755855405428605,67.16246124031996
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,20,9,2,6,0.3181,51.60637535377633,65.57869887613111
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,20,9,2,9,0.33524,51.23361373409662,65.60971142027013
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,20,9,2,12,0.30854,53.20630382044032,69.45055958093383
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,20,9,3,6,0.38132,50.79090322437934,68.14383023613856
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,20,9,3,9,0.40946,52.06730618530109,67.29442209962149
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,20,9,3,12,0.40482,47.897692938681445,63.61871166781973
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,40,3,1,6,0.32648,48.44341008462421,62.22521048237507
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,40,3,1,9,0.35806,48.11356235106782,63.77671783627048
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,40,3,1,12,0.3653,46.0388578202688,65.43785799101481
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,40,3,2,6,0.343,46.813684895980806,62.44234336092332
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,40,3,2,9,0.3715,52.43348117888252,67.80730074825794
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,40,3,2,12,0.38872,46.41656587553725,64.925535064928
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,40,3,3,6,0.3971,48.61861584542883,63.693461708414276
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,40,3,3,9,0.40084,50.882695287360704,68.10272997178856
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,40,3,3,12,0.4302,51.34511443551909,67.16825065345786
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,40,6,1,6,0.39536,49.90011979143917,66.72028914766487
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,40,6,1,9,0.34578,48.74892377466893,63.60051772521814
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,40,6,1,12,0.37036,51.03102043122755,66.726067690241
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,40,6,2,6,0.40018,52.71918936813372,67.49496515872706
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,40,6,2,9,0.37562,50.988751327328,67.14124648282959
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,40,6,2,12,0.44736,51.07101166494786,68.44261293628813
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,40,6,3,6,0.46648,50.32111139451153,67.57137369423752
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,40,6,3,9,0.52004,51.290374933594805,66.96274862476336
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,40,6,3,12,0.52076,57.42289421972768,69.85142325212314
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,40,9,1,6,0.4084,50.98088762252547,65.9833550603273
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,40,9,1,9,0.46732,51.802156002649426,66.46596324282497
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,40,9,1,12,0.50324,48.239031506042984,63.79406598800005
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,40,9,2,6,0.469,53.27722771831344,68.20353430948893
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,40,9,2,9,0.51558,53.10448114830251,68.85100583791301
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,40,9,2,12,0.4736,56.939897852185204,72.33736122610873
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,40,9,3,6,0.53742,50.03975651338239,65.46572632527219
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,40,9,3,9,0.6225,56.32171429465338,70.23921446160469
ppo_intruder_24_50_PBRS_Training_2_4000000_steps.zip,40,9,3,12,0.62404,46.93694857250885,63.226052220510425
ppo_intruder_24_50_PBRS_Training_2_3500000_steps.zip,5,3,1,6,0.0612,41.30100634463575,58.7198934945514
ppo_intruder_24_50_PBRS_Training_2_3500000_steps.zip,5,3,1,9,0.04594,42.062810754342664,62.130974834972804
ppo_intruder_24_50_PBRS_Training_2_3500000_steps.zip,5,3,1,12,0.05522,43.19523541665694,63.38510615895021
ppo_intruder_24_50_PBRS_Training_2_3500000_steps.zip,5,3,2,6,0.09484,44.215711490051675,62.88162774677048
ppo_intruder_24_50_PBRS_Training_2_3500000_steps.zip,5,3,2,9,0.09124,44.481812105355694,66.14548731263723
ppo_intruder_24_50_PBRS_Training_2_3500000_steps.zip,5,3,2,12,0.07794,44.569631616358436,66.35670828439761
ppo_intruder_24_50_PBRS_Training_2_3500000_steps.zip,5,3,3,6,0.11188,41.837789411946,65.39431517092926
ppo_intruder_24_50_PBRS_Training_2_3500000_steps.zip,5,3,3,9,0.0994,43.852174743707025,63.850564732532746
ppo_intruder_24_50_PBRS_Training_2_3500000_steps.zip,5,3,3,12,0.136,43.96626900005412,65.67245882055524
ppo_intruder_24_50_PBRS_Training_2_3500000_steps.zip,5,6,1,6,0.0376,38.95102290152815,59.07577756017528
ppo_intruder_24_50_PBRS_Training_2_3500000_steps.zip,5,6,1,9,0.03898,45.02648385963426,64.56749893654464
